product name,Current Price,Previous Price, Price Per Each ,Category,Amount,Units
Yellow Mini Potatoes,2.99,3.99,0.44,Fresh Vegetables,0.68,kg
White Onion,2.03,2.03,5.49,Fresh Vegetables,1,ea
Green Beans,0.44,0.44,0.88,Fresh Vegetables,1,ea
Organic White Mushrooms,3.5,3.5,1.54,Fresh Vegetables,227,g
Poblano Hot Peppers,4,4,1.77,Fresh Vegetables,226,g
Long Eggplants (1Pack),15.95,15.95,11.00,Fresh Vegetables,1,ea
Carrots,0.57,0.57,4.39,Fresh Vegetables,1,ea
Jalapeno Peppers,7,7,0.35,Fresh Vegetables,2000,ml
Organic French Beans,5,5,1.43,Fresh Vegetables,350,g
LoBok (Daikon Radish),2.65,3.08,2.82,Fresh Vegetables,1,ea
Organics Whole Shitake Mushrooms,5,5,5.00,Fresh Vegetables,100,g
Naturally Imperfect Russet Potatoes,7,11, $-   ,Fresh Vegetables,20,lb
Red Cabbage,5.25,5.25,3.95,Fresh Vegetables,1,ea
Yellow Zucchini,1.48,1.48,5.49,Fresh Vegetables,1,ea
Organic Red Potatoes,5.99,5.99,0.44,Fresh Vegetables,3,lb
Radicchio Lettuce,2.73,2.73,8.80,Fresh Vegetables,1,ea
Axiany Cherry Tomatoes,7,7,1.03,Fresh Vegetables,681,g
Chinese Long Beans (Bodie),0.44,0.44,0.88,Fresh Vegetables,1,ea
Beets 5lb Bag,4.99,4.99,0.22,Fresh Vegetables,5,lb
Oven BBQ Ready Onion Chive Potatoes,3.99,3.99,0.88,Fresh Vegetables,454,g
Japanese Yams,5.63,5.63,5.93,Fresh Vegetables,1,ea
Whole Cremini Mushrooms,3,3,1.50,Fresh Vegetables,200,g
Salted Duck Eggs,3.49,3.49,0.92,Fresh Vegetables,1,ea
Organics Portobello Mushroom Caps,5,5,2.94,Fresh Vegetables,2,pack
Russet Potatoes,6.49,8,0.14,Fresh Vegetables,10,lb
Potato Baking Tray,4.79,4.79,4.79,Fresh Vegetables,1,ea
"Greenhouse Tomatoes on the Vine, 4lb box",5,5,0.28,Fresh Vegetables,1.814,kg
Sour Cabbage Head,9.78,9.78,5.49,Fresh Vegetables,1,ea
Mixed Little Gems,2.99,3.99,0.44,Fresh Vegetables,0.68,kg
"Spinach, Bunched",2.99,2.99,2.99,Fresh Vegetables,1,ea
Sliced Cremini Mushrooms,5,5,1.10,Fresh Vegetables,454,g
Celery Hearts,4.99,4.99,2.50,Fresh Vegetables,2,pack
Red Potatoes,1.43,1.43,5.49,Fresh Vegetables,1,ea
Organics Portobello Mushroom Caps,7,7,2.92,Fresh Vegetables,240,g
Ong Choy,8.99,8.99,2.12,Fresh Vegetables,425,g
Garlic Stem,7.91,7.91,12.96,Fresh Vegetables,1,ea
Organic Tomato On The Vine Red (1 Bunch),4.74,5.54,6.59,Fresh Vegetables,1,ea
Avalantino Tomato,4,4,0.88,Fresh Vegetables,454,g
Red Thai Hot Peppers,5,5,6.67,Fresh Vegetables,75,g
Oven BBQ Ready Garlic Herb Potatoes,3.99,3.99,0.88,Fresh Vegetables,454,g
Organic Cauliflower,5.99,5.99,5.99,Fresh Vegetables,1,ea
Buttercup Squash,7.37,7.37,4.83,Fresh Vegetables,1,ea
Cremini Mushrooms,0.33,0.33,1.10,Fresh Vegetables,1,ea
Mini Carrots 1lb,2.99,2.99,0.66,Fresh Vegetables,454,g
Snap Peas,3.99,3.99,1.76,Fresh Vegetables,227,g
Sweet Onions 3lb Bag,5.79,5.79,0.43,Fresh Vegetables,3,lb
Bok Choy,2.62,2.62,3.28,Fresh Vegetables,1,ea
Chinese Okra,0.99,0.99,6.59,Fresh Vegetables,1,ea
Sher-Li Hon,2.64,2.64,5.05,Fresh Vegetables,1,ea
Green Thai Hot Peppers,5,5,6.67,Fresh Vegetables,75,g
Opo Squash,2.77,2.77,4.39,Fresh Vegetables,1,ea
Microwave Ready Lemon and Garden Herb Potatoes,3.99,3.99,0.88,Fresh Vegetables,454,g
Chayote Squash,1.49,1.49,1.49,Fresh Vegetables,1,ea
French Bean,8,8,1.18,Fresh Vegetables,680,g
Sweet Potatoes,8.99,8.99,0.40,Fresh Vegetables,5,lb
Snap Peas,6.99,6.99,1.64,Fresh Vegetables,425,g
Baby Boo Halloween Pumpkins,4,4,0.67,Fresh Vegetables,6,ea
Romaine Hearts,9,9,1.50,Fresh Vegetables,6,pack
Green Thai Hot Peppers,5,5,6.67,Fresh Vegetables,75,g
Dried Porcini Mushrooms    ,5,5,35.71,Fresh Vegetables,14,g
Jalapeno Hot Peppers,4,4,1.77,Fresh Vegetables,226,g
Organic Iceberg Lettuce,4.99,4.99,4.99,Fresh Vegetables,1,ea
Organic Leeks,7.99,7.99,7.99,Fresh Vegetables,1,bunch
Organic Broccoli,5.49,5.49,5.49,Fresh Vegetables,1,ea
Organics Sliced Portobello Mushrooms,5,5,2.94,Fresh Vegetables,170,g
Sher-Li Hon,2.64,2.64,5.05,Fresh Vegetables,1,ea
Bok Choy,2.62,2.62,3.28,Fresh Vegetables,1,ea
Chinese Okra,0.99,0.99,6.59,Fresh Vegetables,1,ea
Organic Grape Tomatoes,4.5,4.5,1.61,Fresh Vegetables,280,g
Opo Squash,2.77,2.77,4.39,Fresh Vegetables,1,ea
Organic Russet Potatoes,5.99,5.99,0.44,Fresh Vegetables,3,lb
Baby Bok Choy,4.35,4.35,6.59,Fresh Vegetables,1,ea
Yu Choy,4.46,4.46,7.69,Fresh Vegetables,1,ea
Fuzzy Squash,3.92,3.92,4.39,Fresh Vegetables,1,ea
Turnips,2.09,2.09,5.49,Fresh Vegetables,1,ea
Sweet Potatoes,8.99,8.99,0.40,Fresh Vegetables,5,lb
Belgian Endive,1.15,1.15,7.69,Fresh Vegetables,1,ea
Organics Whole White Mushrooms,4,6,0.88,Fresh Vegetables,454,g
"Tiger Halloween Pumpkins, 3 Pack",6,6,6.00,Fresh Vegetables,1,ea
Green Swiss Chard,4.99,4.99,4.99,Fresh Vegetables,1,bunch
Radish,2.99,2.99,0.66,Fresh Vegetables,454,g
French Bean,8,8,1.18,Fresh Vegetables,680,g
White Pumpkin,4,4,4.00,Fresh Vegetables,1,ea
Whole Oyster Mushrooms,4,4,4.00,Fresh Vegetables,100,g
Russet Potato,2.17,2.17,5.05,Fresh Vegetables,1,ea
Organic Carrots Bunched,3.99,3.99,3.99,Fresh Vegetables,1,bunch
Mixed Peppers (6 Pack),8,8,1.33,Fresh Vegetables,6,ea
Live Lettuce Tri Mix - 1 Unit,4,4,4.00,Fresh Vegetables,350,g
Okra,1.1,1.1,11.00,Fresh Vegetables,1,ea
Snap Peas,3.99,3.99,2.00,Fresh Vegetables,200,g
Organic Red Onions,4.99,4.99,0.55,Fresh Vegetables,2,lb
White Mushrooms,0.33,0.33,1.10,Fresh Vegetables,1,ea
Shanghai Bok Choy,4.22,4.22,6.59,Fresh Vegetables,1,ea
Red Leaf Lettuce,2.99,2.99,2.99,Fresh Vegetables,1,ea
Field Cucumbers,1.49,1.49,1.49,Fresh Vegetables,1,ea
"Peppers, Mini",6,6,1.32,Fresh Vegetables,454,g
Live Lettuce Boston,3.49,3.49,3.49,Fresh Vegetables,1,ea
Pumpkin Mix Varietal,6,6,6.00,Fresh Vegetables,1,ea
Asparagus,7.79,7.79,13.21,Fresh Vegetables,1,ea
Mini Cucumbers ,5,5,1.10,Fresh Vegetables,454,g
Peeled Garlic,4.66,4.66,8.80,Fresh Vegetables,1,ea
Red Potatoes 10lb Bag,8,8,0.18,Fresh Vegetables,10,lb
Organic Peppers,5,5,2.50,Fresh Vegetables,2,pack
Peeled Garlic,4.66,4.66,8.80,Fresh Vegetables,1,ea
Red Potatoes 10lb Bag,8,8,0.18,Fresh Vegetables,10,lb
"Chanterelle Mushrooms, Dried",5,5,35.71,Fresh Vegetables,14,g
Asparagus,7.79,7.79,13.21,Fresh Vegetables,1,ea
"Peppers, Mini",6,6,1.32,Fresh Vegetables,454,g
Live Lettuce Boston,3.49,3.49,3.49,Fresh Vegetables,1,ea
Pumpkin Mix Varietal,6,6,6.00,Fresh Vegetables,1,ea
Mini Cucumbers ,5,5,1.10,Fresh Vegetables,454,g
White Mushrooms,0.33,0.33,1.10,Fresh Vegetables,1,ea
Shanghai Bok Choy,4.22,4.22,6.59,Fresh Vegetables,1,ea
Red Leaf Lettuce,2.99,2.99,2.99,Fresh Vegetables,1,ea
"Red Beets, Bunched",4.99,4.99,4.99,Fresh Vegetables,1,bunch
Organic Peppers,5,5,2.50,Fresh Vegetables,2,pack
Grey Zucchini,1.32,1.32,5.49,Fresh Vegetables,1,ea
Cassava,3.28,3.28,4.83,Fresh Vegetables,1,ea
Hot Finger Peppers,0.18,0.18,15.41,Fresh Vegetables,1,ea
Organic Garlic,2.99,2.99,2.60,Fresh Vegetables,115,g
Romaine Lettuce Hearts,5.99,8,2.00,Fresh Vegetables,3,ea
Brussels Sprouts,0.33,0.33,11.00,Fresh Vegetables,1,ea
Rhubarb,4.49,4.49,4.49,Fresh Vegetables,1,ea
Portobello Mushroom Caps,6,6,2.86,Fresh Vegetables,4,pack
"Morel Mushrooms, Dried",9,9,64.29,Fresh Vegetables,14,g
"Fresh Creamer Potatoes Roasted Garlic, Rosemary & Thyme",3.99,3.99,0.88,Fresh Vegetables,454,g
Organic Green Cabbage,9.61,9.61,5.49,Fresh Vegetables,1,ea
Jamaican Aloe,2.33,2.33,4.39,Fresh Vegetables,1,ea
Chinese Napa Cabbage,4.92,4.92,4.39,Fresh Vegetables,1,ea
Organics Whole Cremini Mushrooms,3.5,3.5,1.54,Fresh Vegetables,227,g
Villagio Marzano Tomatoes,7,7,10.28,Fresh Vegetables,681,g
Whole Cremini Mushrooms,5,5,1.10,Fresh Vegetables,454,g
Whole White Mushrooms,2.99,2.99,1.50,Fresh Vegetables,200,g
"Green Peppers, Half Case",20,20,20.00,Fresh Vegetables,1,ea
Naturally Imperfect White Mushrooms,5,5,0.74,Fresh Vegetables,680,g
"Organic English Cucumber, Pack of 2",6,6,3.00,Fresh Vegetables,1,ea
Organic Ginger,2.99,2.99,1.87,Fresh Vegetables,160,g
Yu Choy Sum,5.15,5.15,7.69,Fresh Vegetables,1,ea
Red Onions,10.99,10.99,0.24,Fresh Vegetables,10,lb
Red Field Peppers,5,5,1.25,Fresh Vegetables,1,ea
Snow Peas,3.99,3.99,2.35,Fresh Vegetables,170,g
Peeled Garlic cloves,4.99,4.99,1.10,Fresh Vegetables,454,g
Carrots 2 LB,2.99,2.99,0.33,Fresh Vegetables,2,lb
Shanghai Bok Choy Jr.,3.81,4.61,6.35,Fresh Vegetables,1,ea
Brown Shimeji Mushrooms,3,3,2.00,Fresh Vegetables,150,g
Red Onions,4.99,4.99,0.37,Fresh Vegetables,3,lb
Mixed Dried Mushrooms,5,5,35.71,Fresh Vegetables,14,g
Anaheim Hot Peppers,4,4,2.35,Fresh Vegetables,170,g
Rutabaga,4.17,4.17,2.62,Fresh Vegetables,1,ea
"Chinese Carrots, Jumbo",3.26,3.26,4.39,Fresh Vegetables,1,ea
"Carrots, Bunched",2.99,2.99,2.99,Fresh Vegetables,1,bunch
White Potatoes,6.99,6.99,0.31,Fresh Vegetables,5,lb
Jalapeno Peppers,0.44,0.44,8.80,Fresh Vegetables,1,ea
Savoy Cabbage,3.85,3.85,3.95,Fresh Vegetables,1,ea
Fennel,5.49,5.49,5.49,Fresh Vegetables,1,ea
Rapini,3.99,3.99,3.99,Fresh Vegetables,1,bunch
Organic Carrots,3.49,3.49,0.38,Fresh Vegetables,2,lb
Caribbean Sweet Potatoes,1.7,1.7,5.49,Fresh Vegetables,1,ea
Bean Sprouts    ,2.49,2.49,0.73,Fresh Vegetables,340,g
Baby Bok Choy Jr,4.25,5.15,6.35,Fresh Vegetables,1,ea
White Sweet Potato,1.98,1.98,3.95,Fresh Vegetables,1,ea
"Eggplant, Baby",0.55,0.55,5.49,Fresh Vegetables,1,ea
Kabocha Squash,9.9,9.9,4.83,Fresh Vegetables,1,ea
Chinese Broccoli (gai lan),5.37,5.37,8.80,Fresh Vegetables,1,ea
White Potatoes,1.98,1.98,5.49,Fresh Vegetables,1,ea
Butternut Squash,7.78,7.78,4.83,Fresh Vegetables,1,ea
Purple Eggplants,3.76,3.76,6.59,Fresh Vegetables,1,ea
Organic Beet Bunch,5.49,5.49,0.79,Fresh Vegetables,699,g
Red Hot Thai Peppers,4.25,4.25,33.05,Fresh Vegetables,1,ea
Sugar Snap Peas  ,8.99,8.99,1.32,Fresh Vegetables,0.68,kg
Karela,0.71,0.71,5.49,Fresh Vegetables,1,ea
Celery Hearts,5.99,5.99,3.00,Fresh Vegetables,1,ea
Organics Sliced Cremini Mushrooms,4,4,1.76,Fresh Vegetables,227,g
Cauliflower Florets,4.18,4.18,11.00,Fresh Vegetables,1,ea
"Onions, Medium",27.99,27.99,0.12,Fresh Vegetables,22.68,kg
Yellow Caribe Hot Peppers,4,4,1.50,Fresh Vegetables,226,g
"Decorative Corn, pack of 3",4,4,4.00,Fresh Vegetables,1,ea
Don Qua,7.06,7.06,6.59,Fresh Vegetables,1,ea
Organics Yellow Onions,3.99,3.99,0.44,Fresh Vegetables,2,lb
Red Swiss Chard,4.99,4.99,4.99,Fresh Vegetables,1,bunch
"Pepper, Assorted",1.29,1.29,4.39,Fresh Vegetables,1,ea
Baby Eggplants (1 pack),3.7,3.7,8.80,Fresh Vegetables,1,ea
Organic Whole Cremini Mushroooms,4,6,0.88,Fresh Vegetables,454,g
Green Peppers,5,5,1.25,Fresh Vegetables,1,ea
Lotus Root,3.3,3.3,6.59,Fresh Vegetables,1,ea
Fingerling Potatoes,3.99,3.99,0.59,Fresh Vegetables,680,g
Roma Tomatoes,6,6,0.44,Fresh Vegetables,1,ea
Kohlrabi,2.69,2.69,5.49,Fresh Vegetables,1,ea
"Hot Peppers, Long",2.2,2.2,11.00,Fresh Vegetables,1,ea
Jamaican Sweet Potatoes,4.66,4.66,11.66,Fresh Vegetables,1,ea
Brussels Sprout Bag 907g,7.99,7.99,0.88,Fresh Vegetables,907,g
Red Beets,0.5,0.5,2.62,Fresh Vegetables,1,ea
Kale,2.49,2.49,2.49,Fresh Vegetables,1,bunch
Yellow Potatoes,7.99,7.99,0.35,Fresh Vegetables,5,lb
Mixiany Tomato 454G,6,6,1.32,Fresh Vegetables,454,g
Fenugreek,2.49,2.49,2.49,Fresh Vegetables,1,bunch
Axiany Cherry Tomatoes,4,4,1.78,Fresh Vegetables,0.225,kg
Taiwanese Flat Cabbage,4.96,4.96,4.39,Fresh Vegetables,1,ea
Red Fresno Hot Peppers,4,4,3.54,Fresh Vegetables,113,g
Kale,2.49,2.49,2.49,Fresh Vegetables,1,bunch
"Pepper, Assorted",1.29,1.29,4.39,Fresh Vegetables,1,ea
Baby Eggplants (1 pack),3.7,3.7,8.80,Fresh Vegetables,1,ea
Red Swiss Chard,4.99,4.99,4.99,Fresh Vegetables,1,bunch
Spaghetti Squash,6.09,6.09,4.83,Fresh Vegetables,1,ea
Acorn Squash,4.06,4.06,4.83,Fresh Vegetables,1,ea
Gai Lan Jr.,5.23,5.23,11.00,Fresh Vegetables,1,ea
Eddoes,0.99,0.99,6.59,Fresh Vegetables,1,ea
Cucumber Dill,1.65,1.65,5.49,Fresh Vegetables,1,ea
Watercress,3.49,3.49,3.49,Fresh Vegetables,1,bunch
Chinese Bitter Melons,1.21,1.69,5.49,Fresh Vegetables,1,ea
Baby Napa (Suey Choy),3.49,3.49,0.64,Fresh Vegetables,545,g
Serrano Hot Peppers,4,4,3.54,Fresh Vegetables,113,g
Ruby Little Gems Potatoes,2.99,3.99,0.44,Fresh Vegetables,0.68,kg
Purple Sweet Potatoes,4,4,4.39,Fresh Vegetables,1,ea
Variety Pack Tomatoes,7,7,1.03,Fresh Vegetables,680,g
Microwave Ready Savoury Herb Potatoes,3.99,3.99,0.88,Fresh Vegetables,454,g
Yellow Onions,9,9,0.20,Fresh Vegetables,10,lb
Sliced White Mushrooms,5,5,1.10,Fresh Vegetables,454,g
Organic Cucumber Mini,4.99,4.99,0.83,Fresh Vegetables,342,g
Long Eggplants,1.1,1.37,4.39,Fresh Vegetables,1,ea
Organic Asparagus,6.49,6.49,1.91,Fresh Vegetables,340,g
Stuffer White Mushrooms,5,5,1.56,Fresh Vegetables,6,pack
"Pumpkin, Large",4,4,4.00,Fresh Vegetables,1,ea
Brown Mushrooms,5,5,0.74,Fresh Vegetables,680,g
 Sweet Corn 5 Pack,4.99,4.99,4.99,Fresh Vegetables,1,ea
"Mushroom White, Sliced",4,4,1.76,Fresh Vegetables,227,g
Organics Whole Oyster Mushrooms,5,5,5.00,Fresh Vegetables,100,g
Thai Eggplant,4.08,4.08,7.69,Fresh Vegetables,1,ea
Fresh Creamer Potatoes Smoked Salt,3.99,3.99,0.88,Fresh Vegetables,454,g
Cucumber Dill Basket,5,5,0.17,Fresh Vegetables,3,l
French Beans,5,5,1.25,Fresh Vegetables,400,g
Sliced White Mushrooms,2.99,2.99,1.50,Fresh Vegetables,200,g
"Mini Halloween Pumpkins, 6 Pack",4,4,0.34,Fresh Vegetables,1,ea
"Halloween Gourds, Package of 7",4,4,0.57,Fresh Vegetables,7,ea
Lemongrass,1.49,1.49,1.49,Fresh Vegetables,1,ea
Organic Sweet Potatoes 3lb Bag,7.99,7.99,0.59,Fresh Vegetables,3,lb
Garlic Bulbs,4.99,4.99,0.50,Fresh Vegetables,1,kg
Gobo Root,2.49,2.49,3.95,Fresh Vegetables,1,ea
Organic Yellow Potatoes,5.99,5.99,0.44,Fresh Vegetables,3,lb
Thai Green Chili Peppers,2.16,2.16,30.84,Fresh Vegetables,1,ea
Leeks,6.99,6.99,6.99,Fresh Vegetables,1,bunch
Russet Potatoes ,5.99,5.99,0.26,Fresh Vegetables,5,lb
Parsnips 1lb Bag,4.99,4.99,1.10,Fresh Vegetables,1,lb
"Bananas, Bunch",1.75,1.75,1.52,Fresh Fruits,1,ea
Red Seedless Watermelon,8.99,8.99,8.99,Fresh Fruits,1,ea
Strawberries 1LB,5.99,5.99,1.32,Fresh Fruits,454,g
Peaches ,6.99,8,0.23,Fresh Fruits,3,l
PC Extra Large Green Seedless Grapes,8.98,8.98,8.80,Fresh Fruits,1,ea
Blueberries 1 pint,5.99,5.99,1.76,Fresh Fruits,340,g
Avocados Bag,5.99,5.99,1.20,Fresh Fruits,1,bag
Lemon,0.99,0.99,0.99,Fresh Fruits,1,ea
Raspberries 1/2 pint,4.99,4.99,2.94,Fresh Fruits,170,g
Cantaloupe,3.99,3.99,3.99,Fresh Fruits,1,ea
PC Extra Large Red Seedless Grapes,8.71,8.71,8.80,Fresh Fruits,1,ea
Limes,0.99,0.99,0.99,Fresh Fruits,1,ea
"Organic Bananas, Bunch",2.16,2.16,1.96,Fresh Fruits,1,ea
Royal Gala Apples,1.38,1.38,6.59,Fresh Fruits,1,ea
Strawberries 2LB,9.99,9.99,1.10,Fresh Fruits,907,g
Nectarine,6.99,8,0.35,Fresh Fruits,2,l
Navel Orange,1.92,1.92,5.49,Fresh Fruits,1,ea
Avocado,1.99,1.99,1.99,Fresh Fruits,1,ea
Honeycrisp Apples,2.11,2.11,8.80,Fresh Fruits,1,ea
Pineapple,4.99,4.99,4.99,Fresh Fruits,1,ea
Raspberry Pint ,8.99,8.99,2.64,Fresh Fruits,340,g
Blackberries 1/2 Pint,4.49,4.49,2.64,Fresh Fruits,170,g
Green Seedless Grapes,7,7,0.77,Fresh Fruits,907,g
Mango,1.69,1.79,1.69,Fresh Fruits,1,ea
Granny Smith Apples,1.32,1.32,6.59,Fresh Fruits,1,ea
Mandarin Oranges,5.99,5.99,0.44,Fresh Fruits,1.36,kg
Blueberries,7.99,7.99,1.57,Fresh Fruits,510,g
Kiwis,0.99,0.99,0.99,Fresh Fruits,1,ea
Red Seedless Grapes,7,7,0.77,Fresh Fruits,907,g
"Apple, Orchard Run Sunrise",0.42,0.57,2.12,Fresh Fruits,1,ea
Pink Lady Apples,1.38,1.38,6.59,Fresh Fruits,1,ea
Organic Strawberries 1 LB,6.99,6.99,1.54,Fresh Fruits,454,g
"Plums, Black or Red",0.88,0.88,8.80,Fresh Fruits,1,ea
Blue Plums,3.99,5,0.27,Fresh Fruits,1.5,l
Ambrosia Apples,1.45,1.45,6.59,Fresh Fruits,1,ea
"Bartlett Pears, Orchid Run",0.87,0.99,3.28,Fresh Fruits,1,ea
"Plantains, Single",0.94,0.94,2.84,Fresh Fruits,1,ea
Atemoya,5.49,5.49,5.49,Fresh Fruits,1,ea
Flavour Burst Sungold Golden Kiwi,6.99,6.99,1.54,Fresh Fruits,454,g
Red Delicious Apples,8,8,0.35,Fresh Fruits,5,lb
Kiwi Fruit,8.99,8.99,0.99,Fresh Fruits,907,g
Santa Claus Melons,6.24,6.24,3.28,Fresh Fruits,1,ea
Naturally Imperfect Apples 8lb Bag,8,8,0.22,Fresh Fruits,3.6,kg
Black Figs,1.49,1.49,1.49,Fresh Fruits,1,ea
Star Fruit,2.99,2.99,2.99,Fresh Fruits,1,ea
Ataulfo Mango,2.79,2.79,2.79,Fresh Fruits,1,ea
Gala Apples,1.45,1.45,6.59,Fresh Fruits,1,ea
Plum ,8,8,0.88,Fresh Fruits,907,g
Pink Lady Apples 5lb Bag,9.5,9.5,0.42,Fresh Fruits,5,lb
Organic Lemons,6,6,0.66,Fresh Fruits,2,lb
McIntosh Apples,1.32,1.32,6.59,Fresh Fruits,1,ea
Naturally Imperfect Limes,5,5,0.55,Fresh Fruits,907,g
Ambrosia Apples 5lb Bag,8.5,8.5,0.37,Fresh Fruits,5,lb
Red Delicious Apples,1.38,1.38,6.59,Fresh Fruits,1,ea
Black Figs,8.99,8.99,2.64,Fresh Fruits,340,g
"Durian, Frozen",22,22,11.00,Fresh Fruits,1,ea
Navel Oranges Cara Cara,7.99,7.99,0.59,Fresh Fruits,3,lb
Naturally Imperfect Lemons,7,7,0.38,Fresh Fruits,4,lb
Caribbean Avocado,5.99,5.99,5.99,Fresh Fruits,1,ea
Donut Peach,8.8,8.8,8.80,Fresh Fruits,1,ea
Gala Apples,9.5,9.5,0.35,Fresh Fruits,6,lb
Red Grapefruit,6,6,0.44,Fresh Fruits,3,lb
Organic Fuji Apples,6.5,6.5,0.48,Fresh Fruits,3,lb
Organic Bartlett Pears,1.32,1.32,6.59,Fresh Fruits,1,ea
Naturally Imperfect Avocados,8,8,0.59,Fresh Fruits,3,lb
Apple Cosmic Crisp,1.58,1.58,6.59,Fresh Fruits,1,ea
Yellow Asian Pears,1.76,1.76,5.49,Fresh Fruits,1,ea
Navel Oranges,8,8,0.35,Fresh Fruits,2.27,kg
Black Seedless Grapes,15.07,15.07,11.00,Fresh Fruits,1,ea
Chocolate Caramel Apples,8,8,8.00,Fresh Fruits,1,ea
Black Mission Figs,4.99,4.99,2.20,Fresh Fruits,227,g
Brown Pears Gift Box (Case),9.44,9.44,0.19,Fresh Fruits,5,kg
Organic Lime,5,5,1.10,Fresh Fruits,1,lb
Blueberries,6.99,6.99,2.52,Fresh Fruits,277,g
Prickly Pears,1.29,1.29,1.29,Fresh Fruits,1,ea
"Mango, Sweet",3.41,3.41,8.75,Fresh Fruits,1,ea
Organic Raspberries 1/2 pint,5.99,5.99,3.52,Fresh Fruits,170,g
Fuji Apples,9,9,0.40,Fresh Fruits,2.268,kg
Lemons 3lb Bag,7,7,0.51,Fresh Fruits,3,lb
Cactus Pears 12X4ct ,1.98,1.98,0.50,Fresh Fruits,4,ea
Apple Cosmic Crisp (5lb Bag),8.5,8.5,8.50,Fresh Fruits,18.16,ea
Organic Kiwi,3.99,3.99,0.88,Fresh Fruits,454,g
Plums,7,7,7.00,Fresh Fruits,907,g
Jazz Apples,1.38,1.38,6.59,Fresh Fruits,1,ea
McIntosh Apples,8,8,0.35,Fresh Fruits,5,lb
Dragon Fruit,2.88,5.99,2.88,Fresh Fruits,1,ea
Papaya,5.38,5.71,4.14,Fresh Fruits,1,ea
Yellow Peaches,1.32,1.76,6.59,Fresh Fruits,1,ea
Grape Sweet Carnival,11,11,11.00,Fresh Fruits,1,ea
Large Organic Pineapple,5.99,5.99,5.99,Fresh Fruits,1,ea
Canary Melon,3.25,3.25,1.49,Fresh Fruits,1,ea
Passion Fruit,1.99,1.99,1.99,Fresh Fruits,1,ea
Granny Smith Apples,9.5,9.5,0.42,Fresh Fruits,2.27,kg
Yellow Dragon Fruit,4.99,4.99,4.99,Fresh Fruits,1,ea
Solo Papaya,6.99,6.99,6.99,Fresh Fruits,1,ea
Organic Mango,1.99,1.99,1.99,Fresh Fruits,1,ea
"Avocados, Bag",6.5,6.5,2.17,Fresh Fruits,3,pack
